time, vx, vy
481, 2.79988e-13, 2.05594e-13
482, 2.80833e-13, 2.06097e-13
483, 2.8168e-13, 2.066e-13
484, 2.82527e-13, 2.07104e-13
485, 2.83375e-13, 2.07609e-13
486, 2.84224e-13, 2.08114e-13
487, 2.85074e-13, 2.0862e-13
488, 2.85925e-13, 2.09127e-13
489, 2.86777e-13, 2.09634e-13
490, 2.87629e-13, 2.10142e-13
491, 2.88483e-13, 2.10651e-13
492, 2.89352e-13, 2.11232e-13
493, 2.90222e-13, 2.11813e-13
494, 2.91093e-13, 2.12396e-13
495, 2.91965e-13, 2.12979e-13
496, 2.92838e-13, 2.13562e-13
497, 2.93711e-13, 2.14147e-13
498, 2.94586e-13, 2.14732e-13
499, 2.95461e-13, 2.15318e-13
500, 2.96338e-13, 2.15905e-13
501, 2.97215e-13, 2.16492e-13
502, 2.98094e-13, 2.1708e-13
503, 2.98973e-13, 2.17669e-13
504, 2.99854e-13, 2.18259e-13
505, 3.00735e-13, 2.18849e-13
506, 3.01617e-13, 2.1944e-13
507, 3.02501e-13, 2.20032e-13
508, 3.03385e-13, 2.20624e-13
509, 3.0427e-13, 2.21218e-13
510, 3.05157e-13, 2.21812e-13
511, 3.06044e-13, 2.22406e-13
512, 3.06932e-13, 2.23002e-13
513, 3.07821e-13, 2.23598e-13
514, 3.08712e-13, 2.24195e-13
515, 3.09603e-13, 2.24793e-13
516, 3.10495e-13, 2.25392e-13
517, 3.11389e-13, 2.25991e-13
518, 3.12283e-13, 2.26592e-13
519, 3.13178e-13, 2.27193e-13
520, 3.14075e-13, 2.27795e-13
521, 3.14972e-13, 2.28397e-13
522, 3.1587e-13, 2.29001e-13
523, 3.1677e-13, 2.29605e-13
524, 3.17671e-13, 2.3021e-13
525, 3.18572e-13, 2.30816e-13
526, 3.19475e-13, 2.31422e-13
527, 3.20378e-13, 2.3203e-13
528, 3.21283e-13, 2.32638e-13
529, 3.22189e-13, 2.33247e-13
530, 3.23096e-13, 2.33857e-13
531, 3.24004e-13, 2.34468e-13
532, 3.24913e-13, 2.3508e-13
533, 3.25823e-13, 2.35692e-13
534, 3.26734e-13, 2.36306e-13
535, 3.27647e-13, 2.3692e-13
536, 3.2856e-13, 2.37535e-13
537, 3.29475e-13, 2.38151e-13
538, 3.3039e-13, 2.38768e-13
539, 3.31307e-13, 2.39385e-13
540, 3.32225e-13, 2.40004e-13
541, 3.33144e-13, 2.40623e-13
542, 3.34064e-13, 2.41244e-13
543, 3.34985e-13, 2.41865e-13
544, 3.35907e-13, 2.42487e-13
545, 3.36831e-13, 2.4311e-13
546, 3.37755e-13, 2.43734e-13
547, 3.38681e-13, 2.44358e-13
548, 3.39608e-13, 2.44984e-13
549, 3.40536e-13, 2.4561e-13
550, 3.41465e-13, 2.46238e-13
551, 3.42396e-13, 2.46866e-13
552, 3.43327e-13, 2.47496e-13
553, 3.4426e-13, 2.48126e-13
554, 3.45194e-13, 2.48757e-13
555, 3.46129e-13, 2.49389e-13
556, 3.47065e-13, 2.50022e-13
557, 3.48003e-13, 2.50656e-13
558, 3.48941e-13, 2.51291e-13
559, 3.49881e-13, 2.51927e-13
560, 3.50822e-13, 2.52564e-13
561, 3.51765e-13, 2.53202e-13
562, 3.52708e-13, 2.53841e-13
563, 3.53653e-13, 2.5448e-13
564, 3.54599e-13, 2.55121e-13
565, 3.55546e-13, 2.55763e-13
566, 3.56494e-13, 2.56406e-13
567, 3.57444e-13, 2.57049e-13
568, 3.58395e-13, 2.57694e-13
569, 3.59347e-13, 2.5834e-13
570, 3.603e-13, 2.58987e-13
571, 3.61255e-13, 2.59634e-13
572, 3.62211e-13, 2.60283e-13
573, 3.63168e-13, 2.60933e-13
574, 3.64127e-13, 2.61584e-13
575, 3.65086e-13, 2.62236e-13
576, 3.66047e-13, 2.62888e-13
577, 3.6701e-13, 2.63542e-13
578, 3.67973e-13, 2.64197e-13
579, 3.68938e-13, 2.64853e-13
580, 3.69904e-13, 2.6551e-13
581, 3.70763e-13, 2.6663e-13
582, 3.71624e-13, 2.67752e-13
583, 3.72485e-13, 2.68875e-13
584, 3.73349e-13, 2.7e-13
585, 3.74213e-13, 2.71126e-13
586, 3.75079e-13, 2.72254e-13
587, 3.75947e-13, 2.73384e-13
588, 3.76815e-13, 2.74516e-13
589, 3.77686e-13, 2.75649e-13
590, 3.78558e-13, 2.76783e-13
