time, vx, vy
349, -4.94018e-16, 6.18186e-16
350, -4.94103e-16, 6.18109e-16
351, -4.9412e-16, 6.18094e-16
352, -4.94127e-16, 6.18088e-16
353, -4.94131e-16, 6.18085e-16
354, -4.94133e-16, 6.18084e-16
355, -4.94135e-16, 6.18084e-16
356, -4.94136e-16, 6.18084e-16
357, -4.94136e-16, 6.18084e-16
358, -4.94137e-16, 6.18084e-16
359, -4.94137e-16, 6.18085e-16
360, -4.94137e-16, 6.18085e-16
361, -4.94137e-16, 6.18086e-16
362, -4.94137e-16, 6.18087e-16
363, -4.94137e-16, 6.18088e-16
364, -4.94137e-16, 6.18088e-16
365, -4.94137e-16, 6.18089e-16
366, -4.94137e-16, 6.1809e-16
367, -4.94136e-16, 6.18091e-16
368, -4.94136e-16, 6.18092e-16
369, -4.94136e-16, 6.18093e-16
370, -4.94136e-16, 6.18094e-16
371, -4.94136e-16, 6.18095e-16
372, -4.94135e-16, 6.18096e-16
373, -4.94135e-16, 6.18097e-16
374, -4.94135e-16, 6.18098e-16
375, -4.94135e-16, 6.18099e-16
376, -4.94135e-16, 6.181e-16
377, -4.94134e-16, 6.18102e-16
378, -4.94134e-16, 6.18103e-16
379, -4.94134e-16, 6.18104e-16
380, -4.94134e-16, 6.18105e-16
381, -4.94133e-16, 6.18106e-16
382, -4.94133e-16, 6.18107e-16
383, -4.94133e-16, 6.18108e-16
384, -4.94133e-16, 6.18109e-16
385, -4.94132e-16, 6.18111e-16
386, -4.94132e-16, 6.18112e-16
387, -4.94132e-16, 6.18113e-16
388, -4.94132e-16, 6.18114e-16
389, -4.94131e-16, 6.18115e-16
390, -4.94131e-16, 6.18116e-16
391, -4.94131e-16, 6.18118e-16
392, -4.94131e-16, 6.18119e-16
393, -4.9413e-16, 6.1812e-16
394, -4.9413e-16, 6.18121e-16
395, -4.9413e-16, 6.18123e-16
396, -4.9413e-16, 6.18124e-16
397, -4.94129e-16, 6.18125e-16
398, -4.94129e-16, 6.18126e-16
399, -4.94129e-16, 6.18128e-16
400, -4.94129e-16, 6.18129e-16
401, -4.94128e-16, 6.1813e-16
402, -4.94128e-16, 6.18131e-16
403, -4.94128e-16, 6.18133e-16
404, -4.94128e-16, 6.18134e-16
405, -4.94128e-16, 6.18135e-16
406, -4.94127e-16, 6.18137e-16
407, -4.94127e-16, 6.18138e-16
408, -4.94127e-16, 6.18139e-16
409, -4.94127e-16, 6.18141e-16
410, -4.94127e-16, 6.18142e-16
411, -4.94126e-16, 6.18144e-16
412, -4.94126e-16, 6.18145e-16
413, -4.94126e-16, 6.18146e-16
414, -4.94126e-16, 6.18148e-16
415, -4.94126e-16, 6.18149e-16
416, -4.94125e-16, 6.18151e-16
417, -4.94125e-16, 6.18152e-16
418, -4.94125e-16, 6.18154e-16
419, -4.94125e-16, 6.18155e-16
420, -4.94125e-16, 6.18157e-16
421, -4.94125e-16, 6.18158e-16
422, -4.94125e-16, 6.1816e-16
423, -4.94124e-16, 6.18161e-16
424, -4.94124e-16, 6.18163e-16
425, -4.94124e-16, 6.18165e-16
426, -4.94124e-16, 6.18166e-16
427, -4.94124e-16, 6.18168e-16
428, -4.94124e-16, 6.1817e-16
429, -4.94124e-16, 6.18171e-16
430, -4.94124e-16, 6.18173e-16
431, -4.94124e-16, 6.18175e-16
432, -4.94124e-16, 6.18177e-16
433, -4.94124e-16, 6.18179e-16
434, -4.94124e-16, 6.18181e-16
435, -4.94124e-16, 6.18182e-16
436, -4.94124e-16, 6.18184e-16
437, -4.94124e-16, 6.18186e-16
438, -4.94124e-16, 6.18188e-16
439, -4.94124e-16, 6.18191e-16
440, -4.94124e-16, 6.18193e-16
441, -4.94124e-16, 6.18195e-16
442, -4.94124e-16, 6.18197e-16
443, -4.94124e-16, 6.18199e-16
444, -4.94124e-16, 6.18202e-16
445, -4.94124e-16, 6.18204e-16
446, -4.94125e-16, 6.18207e-16
447, -4.94125e-16, 6.18209e-16
448, -4.94125e-16, 6.18212e-16
449, -4.94125e-16, 6.18215e-16
450, -4.94126e-16, 6.18218e-16
451, -4.94126e-16, 6.18221e-16
452, -4.94127e-16, 6.18224e-16
453, -4.94127e-16, 6.18227e-16
454, -4.94128e-16, 6.18231e-16
